EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI01105	AIJ26	Cathartes aura	Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.35	-98.24	35.79	40580548	29743800	0.05129391429395547	1321762905	4229939989	0.13473579811856995	14.1975429358826	0.909185909294576
EHI01111	AIH46	Cathartes aura	Florida, 1.4 mi W of Hasan	Jejunum contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	29.86	-82.46	0.0	23890568	19553056	0.08544308061690742	0	3122768162	0.20304692904013488	11.4996495743946	0.909785406922862
EHI01540	AAW64	Psittacula echo	Bel Ombre	Faecal	Psittaciformes	Unknown	recxJddnYy3ExEL7a	-20.44	57.43	79.44	34678816	18542432	0.02846302702147241	2336358896	2778558829	0.0446940895981538	18.1093095054661	0.843360674433049
EHI01328	AGC98	Canis familiaris	Daneborg	Faecal	Carnivora	Male	recLVY3Rb8dPMd92q	74.18	-20.22	99.53	41008160	203691	0.020964148872649635	6061945401	27879864	0.030736441798231207	17.4533565099316	0.979201612049374
EHI01118	AIF55	Cathartes aura	Florida, Lake Butler	Duodenum contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	30.03	-82.35	0.0	35011242	29245346	0.04398637151386886	0	4867576557	0.11390946443400485	11.8895354347195	0.925709303575381
EHI02829	AGM98	Trichosurus vulpecula	Inglis River, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.08	145.6	70.58	43472840	159585	0.041973285340072386	6169098487	20333202	0.09067501967899705	18.8717524852168	0.847623167962492
EHI01292	AGC18	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	recLVY3Rb8dPMd92q	70.3	-21.95	75.65	40159986	36686	0.02042674382272258	5964480529	5501443	0.029210372129830242	17.3848787834902	0.967324413349605
EHI01149	AII22	Coragyps atratus	Texas, 7.8 mi N of Alice	Duodenum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	27566954	22399484	0.06092212716021994	0	3869107431	0.12131673401613008	11.7616727947104	0.902976614724129
EHI01126	AIF59	Cathartes aura	Florida, Lake Butler	Colon contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	30.03	-82.35	54.07	31523326	20218112	0.11629095988148785	1398148988	2776849221	0.21973469005736734	15.8552521449918	0.885776240998548
EHI01114	AII11	Coragyps atratus	Texas, 7.8 mi N of Alice	Duodenum contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	30658466	24954448	0.08362487834855326	0	4253335252	0.15245800643865937	11.8292792856711	0.906667613349305
