Sample,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C
EHI01661,AIJ26E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Colon contents,Accipitriformes,Female,United States,27.34788,-98.23905,0.34980000000000000,106980504,78922424,0.057155214311629000,3412107018,11125556274,0.14584062712613900,14.5144401211119,0.952844285557051
EHI01192,AIH42E1L1I1,Cathartes aura,"Florida, 1.4 mi W of Hasan",Stomach contents,Accipitriformes,Male,United States,29.85755,-82.4619,0.0014000000000000000,19921922,11766631,0.05169144407366230,1120354042,1817923362,0.06756198794533040,18.5111778731232,0.631834419862478
EHI01233,AIF75E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.7507000000000000,22921262,11426561,0.04734817864413520,1608285951,1757350319,0.06745113695838120,16.9649598792976,0.918635219641856
EHI01116,AII04E1L1I1,Cathartes aura,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.4386,32411360,22067640,0.06603412079980090,1278955458,3042197453,0.16987760306250300,15.3762614386434,0.906889028325031
EHI01646,AIF70E1L1I1,Coragyps atratus,"Florida, Lake Butler",Colon contents,Accipitriformes,Female,United States,30.02768,-82.34884,0.077,61736414,44858976,0.05571954556884350,2087261736,6038527497,0.17142105148845200,12.7005450390565,0.916239189385013
EHI01095,AIG75E1L1I1,Coragyps atratus,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.0416,49167404,4204352,0.05471303017595300,6434078753,628965749,0.09471134778263870,20.379138517883,0.688342990445103
EHI01224,AIH86E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Stomach contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.235,20276532,14329928,0.02928573275131590,790965528,2203675482,0.04423473281163680,15.0072106998338,0.805782539533128
EHI01658,AIF53E1L1I1,Cathartes aura,"Florida, Lake Butler",Stomach contents,Accipitriformes,Male,United States,30.02768,-82.34884,0.0574,93588144,56137212,0.09928239514982970,4650932608,7720936197,0.20619859444588500,17.7560677620889,0.662450091513513
EHI01188,AIH75E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Stomach contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.0,19697160,15626528,0.030745733657566900,0,2906365798,0.0465605365567997,11.4956901793285,0.918156060607444
EHI01794,AIJ31E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Stomach contents,Accipitriformes,Male,United States,27.34788,-98.23905,0.0,22139042,18729568,0.024492295446922600,0,3258935096,0.04268176410210130,12.0604140766014,0.91434959662455
